,Height (cm),Weight (kg),BMI
0,176.58,46.95,15.06
1,172.92,46.12,15.42
2,166.65,44.84,16.14
3,170.74,47.06,16.14
4,172.57,48.57,16.31
5,175.77,50.97,16.5
6,169.7,47.65,16.55
7,173.28,49.82,16.59
8,177.09,52.55,16.76
9,171.45,49.45,16.82
10,170.71,49.55,17.0
11,175.51,52.53,17.05
12,175.51,52.6,17.07
13,164.77,46.4,17.09
14,161.24,44.5,17.12
15,174.98,52.49,17.14
16,172.47,51.08,17.17
17,167.59,48.39,17.23
18,168.99,49.24,17.24
19,169.62,49.62,17.25
20,178.26,55.05,17.33
21,173.71,52.38,17.36
22,168.91,49.78,17.45
23,163.3,46.75,17.53
24,177.83,55.47,17.54
25,173.43,52.77,17.54
26,172.11,52.07,17.58
27,171.75,51.88,17.59
28,173.38,52.94,17.61
29,181.33,58.13,17.68
30,165.56,48.71,17.77
31,180.59,58.25,17.86
32,178.49,57.04,17.9
33,176.35,55.73,17.92
34,171.96,53.1,17.96
35,167.61,50.58,18.0
36,187.53,63.32,18.01
37,173.69,54.5,18.07
38,167.51,50.86,18.13
39,180.92,59.41,18.15
40,162.89,48.23,18.18
41,166.42,50.43,18.21
42,172.54,54.23,18.22
43,176.63,57.0,18.27
44,177.93,58.0,18.32
45,162.69,48.5,18.33
46,184.0,62.15,18.36
47,167.08,51.36,18.4
48,174.5,56.05,18.41
49,174.6,56.46,18.52
50,174.17,56.53,18.63
51,179.22,59.91,18.65
52,167.92,52.63,18.66
53,171.86,55.1,18.66
54,163.55,49.95,18.67
55,166.22,51.77,18.74
56,176.33,58.3,18.75
57,172.01,55.48,18.75
58,176.38,58.37,18.76
59,177.75,59.27,18.76
60,172.77,56.13,18.8
61,181.66,62.04,18.8
62,165.56,51.55,18.81
63,179.93,60.92,18.82
64,172.03,55.69,18.82
65,178.28,59.84,18.83
66,182.93,63.08,18.85
67,178.03,59.81,18.87
68,167.31,52.83,18.87
69,167.44,53.01,18.91
70,175.79,58.52,18.94
71,172.64,56.46,18.94
72,171.86,55.93,18.94
73,169.11,54.2,18.95
74,173.48,57.1,18.97
75,175.77,58.68,18.99
76,179.86,61.51,19.01
77,169.62,54.85,19.06
78,166.27,52.7,19.06
79,172.75,56.97,19.09
80,168.55,54.26,19.1
81,163.83,51.31,19.12
82,172.11,56.66,19.13
83,178.41,60.9,19.13
84,165.89,52.69,19.15
85,180.92,62.68,19.15
86,170.48,55.66,19.15
87,182.37,63.68,19.15
88,174.19,58.12,19.16
89,177.95,60.66,19.16
90,169.14,54.96,19.21
91,174.27,58.43,19.24
92,174.42,58.53,19.24
93,168.38,54.56,19.24
94,168.55,54.68,19.25
95,179.32,61.92,19.25
96,173.58,57.99,19.25
97,169.62,55.41,19.26
98,168.86,54.92,19.26
99,172.26,57.18,19.27
100,171.12,56.7,19.36
101,169.9,55.93,19.37
102,166.98,54.04,19.38
103,181.58,63.91,19.38
104,170.51,56.38,19.39
105,172.77,57.94,19.41
106,173.33,58.32,19.41
107,173.36,58.42,19.44
108,173.79,58.86,19.49
109,174.52,59.44,19.51
110,167.13,54.49,19.51
111,180.57,63.64,19.52
112,187.71,68.81,19.53
113,173.48,58.98,19.6
114,177.83,62.03,19.62
115,171.02,57.42,19.63
116,167.16,54.89,19.64
117,171.3,57.65,19.65
118,167.59,55.22,19.66
119,167.13,54.93,19.66
120,177.19,61.85,19.7
121,174.78,60.31,19.74
122,165.81,54.33,19.76
123,170.66,57.7,19.81
124,176.58,61.91,19.86
125,170.54,57.84,19.89
126,173.3,59.78,19.9
127,175.49,61.33,19.92
128,179.93,64.74,20.0
129,168.38,56.73,20.01
130,173.41,60.26,20.04
131,170.1,58.02,20.05
132,174.17,60.84,20.06
133,175.11,61.5,20.06
134,172.24,59.7,20.13
135,174.35,61.2,20.13
136,166.7,56.04,20.17
137,178.41,64.31,20.21
138,170.21,58.55,20.21
139,170.71,58.96,20.23
140,177.6,63.82,20.23
141,173.61,60.99,20.24
142,169.6,58.25,20.25
143,168.43,57.49,20.27
144,176.94,63.49,20.28
145,168.88,57.93,20.31
146,166.07,56.13,20.35
147,171.42,59.8,20.35
148,174.83,62.23,20.36
149,176.2,63.2,20.36
150,175.26,62.52,20.36
151,169.01,58.21,20.38
152,172.03,60.34,20.39
153,170.41,59.25,20.4
154,174.98,62.62,20.45
155,177.29,64.31,20.46
156,168.91,58.51,20.51
157,175.59,63.4,20.56
158,171.35,60.39,20.57
159,173.28,61.8,20.58
160,168.81,58.86,20.66
161,171.55,60.82,20.67
162,168.35,58.61,20.68
163,165.56,56.75,20.71
164,178.28,65.9,20.73
165,173.05,62.07,20.73
166,177.34,65.28,20.76
167,174.98,63.75,20.82
168,173.63,63.0,20.9
169,167.54,58.7,20.91
170,172.64,62.44,20.95
171,163.58,56.27,21.03
172,175.41,64.76,21.05
173,170.46,61.37,21.12
174,176.94,66.18,21.14
175,178.26,67.22,21.16
176,177.57,66.83,21.19
177,165.89,58.32,21.19
178,174.96,65.25,21.32
179,174.37,64.99,21.37
180,165.79,58.78,21.39
181,171.2,62.94,21.48
182,173.28,64.7,21.55
183,161.11,55.95,21.56
184,172.29,64.22,21.63
185,171.78,64.48,21.85
186,166.32,60.44,21.85
187,171.09,64.04,21.88
188,162.15,57.81,21.99
189,172.19,65.59,22.12
190,178.84,70.86,22.16
191,180.29,72.25,22.23
192,177.93,70.63,22.31
193,176.28,69.56,22.39
194,169.67,64.45,22.39
195,167.67,63.7,22.66
196,168.22,64.16,22.67
197,171.22,66.52,22.69
198,170.38,66.5,22.91
199,169.88,66.22,22.95
